URL,Name,Address,Website,Phone,Business Name
https://www.google.com/maps/place/Brew+Lab+Specialty+Coffee/data=!4m7!3m6!1s0x48670f24199a88e9:0x781c5c81db59b51f!8m2!3d53.3381631!4d-6.2662471!16s%2Fg%2F11tr__drxx!19sChIJ6YiaGSQPZ0gRH7VZ24FcHHg?authuser=0&hl=en&rclk=1,Brew Lab Specialty Coffee,"17 Redmond's Hill, Dublin, D02 E034, Ireland",https://www.instagram.com/brewlabdublin/?hl=en,Phone Number Not Found,Brew Lab Specialty Coffee
https://www.google.com/maps/place/The+Bald+Barista/data=!4m7!3m6!1s0x48670ea04cf48e6d:0xcba00889a0e4736f!8m2!3d53.340483!4d-6.2658258!16s%2Fg%2F1tf1n7j9!19sChIJbY70TKAOZ0gRb3PkoIkIoMs?authuser=0&hl=en&rclk=1,The Bald Barista,"68 Aungier St, Dublin 2, D02 XE86, Ireland",https://m.facebook.com/thebaldbaristacafe/,35386312998,The Bald Barista
https://www.google.com/maps/place/Dublin+Barista+School/data=!4m7!3m6!1s0x48670e9be8f1376b:0x2004ecec0601efc1!8m2!3d53.3409544!4d-6.2586932!16s%2Fg%2F1pv61bk7t!19sChIJazfx6JsOZ0gRwe8BBuzsBCA?authuser=0&hl=en&rclk=1,,,http://www.dublinbaristaschool.ie/,35387092607,Dublin Barista School
https://www.google.com/maps/place/Copper+%2B+Straw+Speciality+Coffee/data=!4m7!3m6!1s0x48670fe76537f2ff:0x5de8fe2e24fad224!8m2!3d53.3466003!4d-6.2600753!16s%2Fg%2F11tds30h8k!19sChIJ__I3ZecPZ0gRJNL6JC7-6F0?authuser=0&hl=en&rclk=1,Copper + Straw Speciality Coffee,"14 - 18 Aston Quay, Temple Bar, Dublin 2, D02 FV38, Ireland",http://copperandstraw.ie/,35387810263,Copper + Straw Speciality Coffee
https://www.google.com/maps/place/Coffee+District/data=!4m7!3m6!1s0x48670d10f8adc971:0x51cfcf64cc3dbfc9!8m2!3d53.3426396!4d-6.2924285!16s%2Fg%2F11fml_m6x4!19sChIJccmt-BANZ0gRyb89zGTPz1E?authuser=0&hl=en&rclk=1,,,http://www.facebook.com/coffeedistrict.ie/,35315528717,Coffee District
https://www.google.com/maps/place/Groundstate+Coffee/data=!4m7!3m6!1s0x48670dc2a838d21d:0xe7b3e8468bd03c08!8m2!3d53.3432779!4d-6.2885304!16s%2Fg%2F11f9f240jh!19sChIJHdI4qMINZ0gRCDzQi0bos-c?authuser=0&hl=en&rclk=1,,,https://www.groundstated8.com/,Phone Number Not Found,Groundstate Coffee
https://www.google.com/maps/place/Barista+Eric+Levy/data=!4m7!3m6!1s0x48670c29e5e51689:0xb4b9299ec1aeb831!8m2!3d53.3494111!4d-6.2700534!16s%2Fg%2F11fmx0d7p0!19sChIJiRbl5SkMZ0gRMbiuwZ4pubQ?authuser=0&hl=en&rclk=1,Barista Eric Levy,"16 Fade St, Rotunda, Dublin 2, D02 XA58, Ireland",http://www.baristaericlevy.com/,35389956089,Barista Eric Levy
https://www.google.com/maps/place/Creed+Coffee+Roasters/data=!4m7!3m6!1s0x48670f72fea7301d:0x6baa759d10947f1!8m2!3d53.343383!4d-6.2448862!16s%2Fg%2F11n1bz6fp_!19sChIJHTCn_nIPZ0gR8UcJ0VmnugY?authuser=0&hl=en&rclk=1,Creed Coffee Roasters,"80 Pearse St, Dublin 2, D02 WV83, Ireland",https://creedcoffeeroasters.ie/,Phone Number Not Found,Creed Coffee Roasters
https://www.google.com/maps/place/All+Rosey+Coffee/data=!4m7!3m6!1s0x48670fb9f661d559:0xc30eaa735fbf598f!8m2!3d53.3406045!4d-6.2631725!16s%2Fg%2F11ssx1ymck!19sChIJWdVh9rkPZ0gRj1m_X3OqDsM?authuser=0&hl=en&rclk=1,All Rosey Coffee,"30 King St S, Dublin 2, D02 AV82, Ireland",Not Found,35387350557,All Rosey Coffee
https://www.google.com/maps/place/Academy+Coffee+Dublin/data=!4m7!3m6!1s0x48670f017eefb35b:0xd06c6387f0f395a1!8m2!3d53.3526473!4d-6.2601468!16s%2Fg%2F11kqkkqd23!19sChIJW7PvfgEPZ0gRoZXz8IdjbNA?authuser=0&hl=en&rclk=1,,,https://www.academyplazahotel.ie/en/academy-coffee/,35318174100,Academy Coffee Dublin
https://www.google.com/maps/place/Vice+Coffee+Inc/data=!4m7!3m6!1s0x48670e837f0fe3ef:0xb448ccc09b654c12!8m2!3d53.3479188!4d-6.2623041!16s%2Fg%2F1pzvgdlrd!19sChIJ7-MPf4MOZ0gREkxlm8DMSLQ?authuser=0&hl=en&rclk=1,Vice Coffee Inc,"54 Middle Abbey St, North City, Dublin 1, D01 E2X4, Ireland",https://www.vicecoffeeinc.com/,Phone Number Not Found,Vice Coffee Inc
https://www.google.com/maps/place/Craft+Coffee+Roasters/data=!4m7!3m6!1s0x48670c2f53342001:0x96736788e5334240!8m2!3d53.3451296!4d-6.2753156!16s%2Fg%2F11ckhs3bjd!19sChIJASA0Uy8MZ0gRQEIz5Yhnc5Y?authuser=0&hl=en&rclk=1,,,https://www.craftcoffeeroasters.ie/,35315380040,Craft Coffee Roasters
