"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/Ace+With+Ielts/data=!4m7!3m6!1s0x390ce3cc77ebffff:0xb17dc5aa9b8f14ac!8m2!3d28.5513184!4d77.2441237!16s%2Fg%2F11s78cwqqt!19sChIJ___rd8zjDDkRrBSPm6rFfbE?authuser=0&hl=en&rclk=1,28.5513184,77.2441237,3.13,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/PHOENIX+ACADEMIA/data=!4m7!3m6!1s0x390ce3277c834719:0xace8ce6309fb80c1!8m2!3d28.5418375!4d77.2036432!16s%2Fg%2F11fphhk5v5!19sChIJGUeDfCfjDDkRwYD7CWPO6Kw?authuser=0&hl=en&rclk=1,28.5418375,77.2036432,1.1,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/American+Institute+of+English+Language+Pvt.+Ltd./data=!4m7!3m6!1s0x390ce25eaf9c7ddb:0x8adf033e690d6828!8m2!3d28.5700013!4d77.2198247!16s%2Fg%2F12h_csggs!19sChIJ232cr17iDDkRKGgNaT4D34o?authuser=0&hl=en&rclk=1,28.5700013,77.2198247,2.55,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/Magoosh+-+GRE+%7C+GMAT+%7C+SAT+%7C+ACT+%7C+TOEFL+%7C+IELTS/data=!4m7!3m6!1s0x390d1d2831ca2d33:0xa0c28c53e1399aea!8m2!3d28.5383669!4d77.1981759!16s%2Fg%2F11nymg_zk9!19sChIJMy3KMSgdDTkR6po54VOMwqA?authuser=0&hl=en&rclk=1,28.5383669,77.1981759,1.75,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/Wisdom+Mart/data=!4m7!3m6!1s0x390ce20d3cd08137:0xce11744db1716f77!8m2!3d28.5520017!4d77.2038874!16s%2Fg%2F1tcxy63r!19sChIJN4HQPA3iDDkRd29xsU10Ec4?authuser=0&hl=en&rclk=1,28.5520017,77.2038874,0.93,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/Metier+Academy/data=!4m7!3m6!1s0x390d1f0126f50655:0xf8cfda6a112368b0!8m2!3d28.505792!4d77.1745949!16s%2Fg%2F11fkkzccyv!19sChIJVQb1JgEfDTkRsGgjEWraz_g?authuser=0&hl=en&rclk=1,28.505792,77.1745949,5.97,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,"https://www.google.com/maps/place/Jamboree+Education+:-+New+Friends+Colony+Center,+Delhi/data=!4m7!3m6!1s0x390ce34e43f02297:0x983278db8dbfb795!8m2!3d28.5716165!4d77.2664424!16s%2Fg%2F1vnrjd86!19sChIJlyLwQ07jDDkRlbe_jdt4Mpg?authuser=0&hl=en&rclk=1",28.5716165,77.2664424,5.9,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/The+Study+Point/data=!4m7!3m6!1s0x390ce21c55dc01e7:0xfd60a16fb76010e2!8m2!3d28.5340079!4d77.2090613!16s%2Fg%2F11bxfq1x_z!19sChIJ5wHcVRziDDkR4hBgt2-hYP0?authuser=0&hl=en&rclk=1,28.5340079,77.2090613,1.6,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/Fluentia+Academy/data=!4m7!3m6!1s0x390ce19555555555:0xe0b86179b43de662!8m2!3d28.5716473!4d77.2217831!16s%2Fg%2F11b6xd9l3m!19sChIJVVVVVZXhDDkRYuY9tHlhuOA?authuser=0&hl=en&rclk=1,28.5716473,77.2217831,2.78,YES
"IELTS Coaching or Tuition Institutes in Asian Games Village Complex, Delhi",28.5480609,77.2123381,https://www.google.com/maps/place/Study+Smart+-+Study+Abroad+Consultancy+%26+Classroom+IELTS+Coaching+in+Delhi/data=!4m7!3m6!1s0x390ce25da9f07291:0xd2983a4bc399f4b9!8m2!3d28.534164!4d77.242784!16s%2Fg%2F1ptz53z8t!19sChIJkXLwqV3iDDkRufSZw0s6mNI?authuser=0&hl=en&rclk=1,28.534164,77.242784,3.35,YES
