C R Park Delhi,"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,"https://www.google.com/maps/place/Chittaranjan+Park,+New+Delhi,+Delhi/@28.5387663,77.2388973,15z/data=!3m1!4b1!4m6!3m5!1s0x390ce3d71cc40de1:0x16dc2bc228680b16!8m2!3d28.5397842!4d77.2489726!16zL20vMGRueDdt?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Chanakyapuri Delhi,"IELTS Coaching or Tuition Institutes in Chanakyapuri, Delhi",28.5953724,77.1638949,"https://www.google.com/maps/place/Chanakyapuri,+New+Delhi,+Delhi/@28.5953724,77.1638949,14z/data=!3m1!4b1!4m6!3m5!1s0x390d1d67c1f605a1:0x13e8087574a9f6ad!8m2!3d28.5972383!4d77.1904041!16zL20vMDUzMWxo?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Chirag Delhi Delhi,"IELTS Coaching or Tuition Institutes in Chirag Delhi, Delhi",28.5388873,77.2230551,"https://www.google.com/maps/place/Chirag+Dilli,+New+Delhi,+Delhi+110017/@28.5388873,77.2230551,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce22609acebbb:0x75f82bb7565f5a57!8m2!3d28.5376318!4d77.2282863!16s%2Fg%2F1hc31ptzs?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Chittaranjan Park Delhi,"IELTS Coaching or Tuition Institutes in Chittaranjan Park, Delhi",28.5387663,77.2388973,"https://www.google.com/maps/place/Chittaranjan+Park,+New+Delhi,+Delhi/@28.5387663,77.2388973,15z/data=!3m1!4b1!4m6!3m5!1s0x390ce3d71cc40de1:0x16dc2bc228680b16!8m2!3d28.5397842!4d77.2489726!16zL20vMGRueDdt?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Civil Lines Delhi,"IELTS Coaching or Tuition Institutes in Civil Lines, Delhi",28.6817004,77.2009598,"https://www.google.com/maps/place/Civil+Lines,+Delhi/@28.6817004,77.2009598,14z/data=!3m1!4b1!4m6!3m5!1s0x390cfda499b4d9a3:0xf28e0f90d1300396!8m2!3d28.6814284!4d77.2226866!16s%2Fm%2F027dv86?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Connaught Place Delhi,"IELTS Coaching or Tuition Institutes in Connaught Place, Delhi",28.6289016,77.2049872,"https://www.google.com/maps/place/Connaught+Place,+New+Delhi,+Delhi+110001/@28.6289016,77.2049872,15z/data=!3m1!4b1!4m6!3m5!1s0x390cfd37b741d057:0xcdee88e47393c3f1!8m2!3d28.6304203!4d77.2177216!16zL20vMDR4eDB4?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Defence Colony Delhi,"IELTS Coaching or Tuition Institutes in Defence Colony, Delhi",28.5722578,77.2216718,"https://www.google.com/maps/place/Defence+Colony,+New+Delhi,+Delhi/@28.5722578,77.2216718,15z/data=!3m1!4b1!4m6!3m5!1s0x390ce251285f2643:0xc4199f6dedf483c6!8m2!3d28.5733536!4d77.2326497!16zL20vMGR0OWhf?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Delhi Cantoment Delhi,"IELTS Coaching or Tuition Institutes in Delhi Cantoment, Delhi",28.5974743,77.0818545,"https://www.google.com/maps/place/Delhi+Cantonment,+New+Delhi,+Delhi/@28.5974743,77.0818545,13z/data=!3m1!4b1!4m6!3m5!1s0x390d1cea3e56dd05:0xb4616dffb2450129!8m2!3d28.5967567!4d77.1315869!16zL20vMDc2MWps?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
East Of Kailash Delhi,"IELTS Coaching or Tuition Institutes in East Of Kailash, Delhi",28.5573185,77.2405669,"https://www.google.com/maps/place/East+of+Kailash,+New+Delhi,+Delhi/@28.5573185,77.2405669,15z/data=!3m1!4b1!4m6!3m5!1s0x390ce3c818e6779b:0x8a95c032de5920d1!8m2!3d28.5583464!4d77.2530829!16s%2Fg%2F121pw5k1?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Gol Market Delhi,"IELTS Coaching or Tuition Institutes in Gol Market, Delhi",28.6349601,77.1939607,"https://www.google.com/maps/place/Gole+Market,+New+Delhi,+Delhi+110001/@28.6349601,77.1939607,15z/data=!3m1!4b1!4m6!3m5!1s0x390cfd5a94a5aa29:0xd42251c7966e83f5!8m2!3d28.633868!4d77.2053132!16zL20vMDhwY2R2?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Golf Links Delhi,"IELTS Coaching or Tuition Institutes in Golf Links, Delhi",28.5981977,77.2263378,"https://www.google.com/maps/place/Golf+Links,+New+Delhi,+Delhi/@28.5981977,77.2263378,15z/data=!3m1!4b1!4m6!3m5!1s0x390ce2e66a6456b1:0x9d0c2ff400dcb471!8m2!3d28.5973381!4d77.2322727!16s%2Fm%2F03cc_51?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Greater Kailash I Delhi,"IELTS Coaching or Tuition Institutes in Greater Kailash I, Delhi",28.5532713,77.2278239,"https://www.google.com/maps/place/Greater+Kailash+I,+New+Delhi,+Delhi/@28.5532713,77.2278239,15z/data=!3m1!4b1!4m6!3m5!1s0x390ce24815d478d3:0x553372f5692d2785!8m2!3d28.5555328!4d77.233732!16s%2Fg%2F12qfy7gqw?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Greater Kailash II Delhi,"IELTS Coaching or Tuition Institutes in Greater Kailash II, Delhi",28.5347242,77.2315283,"https://www.google.com/maps/place/Greater+Kailash+II,+Greater+Kailash,+New+Delhi,+Delhi/@28.5347242,77.2315283,15z/data=!3m1!4b1!4m6!3m5!1s0x390ce17e015aaf7b:0xa211f1cae059d8bc!8m2!3d28.53536!4d77.2419522!16s%2Fg%2F1261ydgwx?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Greater Kailash III Delhi,"IELTS Coaching or Tuition Institutes in Greater Kailash III, Delhi",28.5374655,77.2319526,"https://www.google.com/maps/place/Greater+Kailash+Part+3,+Greater+Kailash,+New+Delhi,+Delhi+110048/@28.5374655,77.2319526,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce22ba3762aa9:0xa4efa5541ae9ed44!8m2!3d28.5373581!4d77.2365637!16s%2Fg%2F12hnbwrfl?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Green Park Delhi,"IELTS Coaching or Tuition Institutes in Green Park, Delhi",28.5576739,77.1986732,"https://www.google.com/maps/place/Green+Park,+New+Delhi,+Delhi+110016/@28.5576739,77.1986732,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce2718a1bb9d7:0xfd9760b4153efbec!8m2!3d28.5584489!4d77.2029376!16s%2Fm%2F06zrxgk?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Green Park Extension Delhi,"IELTS Coaching or Tuition Institutes in Green Park Extension, Delhi",28.5576739,77.1987262,"https://www.google.com/maps/place/Green+Park+Extension,+Green+Park,+New+Delhi,+Delhi+110016/@28.5576739,77.1987262,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce270432ba8b9:0xdc3895d22e6c3684!8m2!3d28.5597033!4d77.203868!16s%2Fg%2F1hg4scsv0?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Gulmohar Park Delhi,"IELTS Coaching or Tuition Institutes in Gulmohar Park, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Hauz Khas Delhi,"IELTS Coaching or Tuition Institutes in Hauz Khas, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Hauz Khas Enclave Delhi,"IELTS Coaching or Tuition Institutes in Hauz Khas Enclave, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Indraprastha Estate Delhi,"IELTS Coaching or Tuition Institutes in Indraprastha Estate, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
Lajpat Nagar Delhi,"IELTS Coaching or Tuition Institutes in Lajpat Nagar, Delhi",28.5575086,77.2074357,"https://www.google.com/maps/place/Gulmohar+Park,+New+Delhi,+Delhi+110049/@28.5575086,77.2074357,16z/data=!3m1!4b1!4m6!3m5!1s0x390ce26b9e4b6b03:0xa250e95f2101e485!8m2!3d28.5572098!4d77.2127891!16s%2Fm%2F07kf075?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",
